Número de matrimonios,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento de ocurrencia,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2022,80875,15216,987,2683,4235,4096,1865,2205,2846,5087,3688,2006,5184,5295,5321,1525,6831,3021,2051,1285,1682,1413,2353
2021,87480,15028,1025,2684,4408,4128,2069,2431,3061,5196,3890,2110,5469,5922,6270,1764,8053,3945,2376,1305,1794,1648,2904
2020,57387,10126,561,1700,3366,2967,1331,1635,2057,3662,2768,1552,3988,3988,3852,988,4775,2127,1238,892,1044,974,1796
2019,76928,14282,952,2222,3917,3946,1744,2056,2712,4762,3410,2004,4651,5406,4987,1298,6247,2792,2047,1181,1726,2049,2537
2018,74777,15036,840,2239,3832,3830,1767,2109,2658,4688,3406,1936,4487,5282,4679,1378,5619,2343,1892,1224,1641,1549,2342
2017,71597,15076,811,2222,3730,3596,1656,2026,2445,4422,3040,1917,4669,5070,4314,1257,5023,2153,1858,1083,1619,1313,2297
2016,69613,15682,781,2116,3548,3461,1781,1859,2265,4256,2956,1683,4866,5120,4098,1237,4233,2008,1657,1023,1481,1337,2165
2015,79177,16434,850,2373,4271,3905,1824,2102,2971,4874,3651,1980,5109,6037,5435,1536,4820,2366,1590,1234,1754,1585,2476
2014,79496,16812,907,2218,3947,4038,1871,2130,2948,4904,3793,1929,5091,5907,5265,1422,5161,2331,1724,1339,1654,1441,2664
2013,80750,17178,1001,2208,3986,3764,1899,2199,2981,5037,3797,2040,5331,6089,5213,1586,5043,2514,1629,1261,1883,1463,2648
2012,84253,16812,960,2178,4042,4052,1974,2384,2911,5194,3745,2193,5886,6720,5454,1737,6123,2550,1877,1344,1805,1533,2779
2011,78286,16357,893,2023,3646,3454,1899,2011,2740,4596,3406,1971,5414,6300,5067,1506,5736,2251,1697,1348,1920,1530,2521
2010,73124,14426,773,1991,3206,3210,2007,1953,2460,4395,3345,1825,5249,5920,4867,1464,5709,2030,1605,1271,1719,1213,2486
2009,62104,11849,785,1908,3099,2861,1707,1839,2337,3139,2877,1710,4054,5277,3829,1331,4297,1656,1275,1163,1766,1290,2055
2008,52315,8247,683,1459,3020,1823,1187,1662,1531,2757,2185,1395,4068,4594,3678,1297,4900,1221,1142,881,1418,1211,1956
2007,57003,8442,722,1794,3168,2033,1486,1473,1612,3575,2331,1261,4466,4613,4084,1415,5230,1629,1457,1154,1611,1172,2275
2006,57505,8714,748,1664,2840,2469,1397,1693,1624,3574,2518,1478,4229,4837,3735,1585,5155,1635,1454,989,1796,1108,2263
2005,52186,7335,715,1664,2709,2512,1305,1537,1532,3034,2297,1168,3951,4542,3482,1228,4073,1391,1556,861,1807,1295,2192
