Porcentaje de cobertura de vacunación anti poliomielítica,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2007,96,95,98,104,95,96,93,94,92,97,105,84,92,94,83,95,95,99,82,99,90,91,95
2008,92,92,93,90,97,85,91,80,90,108,73,81,91,96,92,85,101,93,92,98,102,82,93
2009,92,92,93,90,97,85,91,80,90,108,73,81,91,96,92,85,101,93,92,98,102,82,93
2010,93.7,96.45755784456506,151.23632410721416,90.42094251764497,98.75442987965539,89.09945434452688,89.42869061201313,79.46832487998857,82.3094349264977,103.27578698753803,69.54995971131986,128.28207489773882,90.89635350295985,96.79431538885618,97.88739165714424,83.19095449787623,94.93063439564118,102.21878626458708,96.43064449197408,100.29575870014915,99.48933023558666,84.63487356837676,98.02951314576049
2011,85.8,91.32436986219915,142.00870412721713,96.35289140765087,93.0726191913805,94.94473374615906,86.52165034189343,79.61158979785944,66.79565755686659,102.09951601326219,96.47518925294642,78.28699240679846,104.66814743815935,70.88705695185907,86.98044126273076,98.45212972484939,55.73997936103352,90.58905767960718,90.57023880776704,91.23019633016072,94.17006269408421,82.59020630900075,101.73037907826298
2012,93.93809551864688,94.9,98.46041055718476,92.33016800584369,92.15840031366399,116.67088607594937,113.47816448681003,88.64468864468864,84.48481746844081,86.88689696847618,95.02974894790306,90.14441347859133,91.73223051576895,95.48116471004822,100.8,94.93556701030927,86.85519142052604,102.2,90.62839104271481,93.10114980836526,95.14970618412461,97.74994457991576,97.34450816056463
2013,92.24436206363917,102.81336269735412,79.81197427016329,83.8723526044648,90.10587345601209,94.5970584660265,88.41787313821476,72.03930706108804,93.60393603936039,92.66321144976463,104.83494733865837,100.7188985012794,79.39385962025733,85.91626166281155,83.67015883744509,88.5171676518677,91.20791173612301,114.08193838337783,98.00434696700256,125.20802741067058,81.96378830083565,89.72425678586816,82.50063618627534
