Porcentaje de cobertura de vacunación BCG,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2007,99,96,98,110,96,96,96,97,101,107,109,89,96,102,93,88,96,102,95,102,96,87,97
2008,93,91,92,99,99,90,94,77,94,111,75,87,92,101,96,83,97,95,104,99,100,77,93
2009,93,91,92,99,99,90,94,77,94,111,75,87,92,101,96,83,97,95,104,99,100,77,93
2010,97.9,97.8157779770502,148.32893167672876,94.57424896821624,99.03263096389979,99.74587937142675,85.39069256863723,73.67033138387248,89.1809711827403,109.22776880025498,67.64327587275562,137.05382621203628,93.01014173430295,110.96253261399909,105.13709342843585,83.11062850383257,102.22364087930119,104.22101155504403,109.8986759628364,106.82533248419264,100.42617960935063,77.85651899939351,97.98168920530496
2011,88.6,89.44796081568049,140.8594429748857,99.49450198536157,93.26200355543817,100.14266856004186,86.16034055483095,76.07724590554376,81.60808370964452,100.51387731525048,102.26147511356145,90.41131765483483,103.8243896998429,73.70297645328996,89.22569310579277,93.70613427613799,65.25510503854292,92.4229534587716,113.91249260384176,99.91962919109359,96.10755219657715,82.43632516868587,97.95943099515252
2012,93.82722661710595,95.9,97.97165200391007,91.24908692476261,94.02731490557407,91.45569620253164,85.00332520505431,81.94662480376766,101.45854657113614,85.35099204350891,99.08576404005224,94.18545730934888,95.35673458408984,96.41543867294963,102.4,87.69329896907216,96.30339704032113,103.7,98.5400019729703,91.7680386602233,95.46684077977801,94.63533584571049,96.00352889280988
2013,97.39393471321182,100.82818945997086,95.0766947055913,103.49170005724098,87.70481472145197,105.78582715449132,51.93209040724924,79.87032722115288,111.29971299712997,97.45138129427987,107.89566692585,108.67552089679542,88.80845042614104,82.43106271278945,83.40993578911795,89.8754873600805,107.46012690790603,133.37458477170586,109.09899229401303,132.9254364496655,120.66504178272982,92.16932356742782,81.19433370090763
